host_listings_count,review_scores_rating,neighbourhood_cleansed,property_type,accommodates,room_type,bedrooms,beds,price,minimum_nights,bathrooms_text,maximum_nights,number_of_reviews,latitude,longitude
8.0,4.620987361262592,Brás de Pina,Private room in residential home,1,Private room,1.0,1.0,89.0,3,1.0,1125,0,-22.83076,-43.29309
0.0,5.0,Copacabana,Entire rental unit,4,Entire home/apt,1.0,2.0,600.0,5,1.0,30,2,-22.97765,-43.19073
0.0,4.620987361262592,Copacabana,Entire serviced apartment,2,Entire home/apt,0.0,1.0,200.0,3,1.0,30,0,-22.96551,-43.1787
21.0,4.620987361262592,Copacabana,Entire rental unit,8,Entire home/apt,3.0,3.0,3250.0,4,2.0,1125,0,-22.971296,-43.184719
21.0,4.67,Copacabana,Entire rental unit,4,Entire home/apt,2.0,3.0,1250.0,5,2.0,1125,3,-22.986826,-43.19138
12.0,4.64,Copacabana,Entire rental unit,4,Entire home/apt,1.0,4.0,551.0,1,1.0,1125,22,-22.97349,-43.18603
12.0,4.62,Copacabana,Entire rental unit,4,Entire home/apt,1.0,3.0,551.0,1,1.0,1125,47,-22.97213,-43.18549
21.0,5.0,Copacabana,Entire rental unit,2,Entire home/apt,1.0,2.0,600.0,4,1.0,1125,1,-22.977549,-43.190266
12.0,4.71,Copacabana,Entire rental unit,5,Entire home/apt,1.0,3.0,486.0,1,1.0,1125,28,-22.97266,-43.18642
21.0,5.0,Copacabana,Entire rental unit,4,Entire home/apt,1.0,2.0,650.0,4,1.0,1125,1,-22.97755,-43.19027
